gameName,tagLine,platformRegion,puuid,proName,teamName,type,source,sourceSlug,league,role,tier,lp,wins,losses
아이린,KR1,KR,1MxMFStF5SX2yL__LDbxuqv9909vOOr7hk1dVR5IXgoI66mLrOL0UX-mfe6BO_rcyAVn2JbhhW7aPQ,Aiming,Dplus KIA,pro,https://www.probuild.gg/pro/aiming,aiming,LCK,adc,Challenger,2090,153,90
강 철,샤 넬,KR,fVyA2BSuT3WnwArLFpZJD0V-oZyNG3ZV2PKJopGnPD_j1ZpgKO8WRxXAEho7LZr_WIrtgWsxQYMi8w,Ruler,Gen.G Esports,pro,https://www.probuild.gg/pro/ruler,ruler,LCK,adc,Challenger,2090,220,158
대머리도적,롤링썬더,KR,0GOqSZ5661UXeDoFzMw05ppdhzk8MllDFdSs3rpLan6JQrSpALq6xqWmQ4Z7GkjDeytMMAZ4xdnvdQ,Rich,DRX,pro,https://www.probuild.gg/pro/rich,rich,LCK,top,Challenger,2079,281,249
YdBB,0107,KR,qNhUTw9oOFiZIO0pTdxiFFDBMvvMnbQvMvHqUHNzgaT8IHBAlMaehjOdFocraOrbDNVlsvqzltlw0w,Pollu,OKSavingsBank BRION,pro,https://www.probuild.gg/pro/pollu,pollu,LCK,supp,Challenger,2057,420,387
G2 Hans Sama,12838,EUW1,wqUexkFFf4XAUXv6VR4jJNwl1y9WgC6aNmUPTsCyw4SlneYZyHT8WfRZQ6RvKrjdVDeDqKeBvBNZ8Q,Hans Sama,G2 Esports,pro,https://www.probuild.gg/pro/hanssama,hanssama,LEC,adc,Challenger,2054,352,231
KRX Joker,A i,KR,Do7r0ZJBkShxrgkaAFRepjjX7vHTv1pRVwEYHjRZcH4kZqIRylFHDHR5m2ZR3nLCtKGCZkqQJpxLWg,Andil,DRX,pro,https://www.probuild.gg/pro/andil,andil,LCK,supp,Challenger,2051,161,119
May,KR43,KR,kGcrEwS_1nzebG6JR6Lh6gA1EipLV_sCAPAiTGmu87eX2hCpl911fXDO6AwIRE7oTXdIIupaNcowEg,Betty,Talon,pro,https://www.probuild.gg/pro/betty,betty,LCP,adc,Challenger,2046,227,166
ismααα,EUW,EUW1,7JEXTgL0DqIwZ2-4HCl2z9SoIfa0WxxdLzF4_fcL3lnIdyvVcRl0CGW-BPgbBrQDzFxamJNckYVhrQ,ISMA,SK Gaming,pro,https://www.probuild.gg/pro/isma,isma,LEC,jungle,Challenger,2043,425,286
From One To Five,tori,EUW1,-CLi4S3dwSfkKUpC1tMiXG1jNOJxYwG2u_wPYT0gtsb3RV8qZPSoFdb6pyPgz82Bbi-CVNSgjEG2pQ,Legolas,Barça Esports,pro,https://www.probuild.gg/pro/legolas,legolas,EMEA,adc,Challenger,2043,395,311
ice seven zero,0721,KR,hqfnJYWzYFMB95kWPqe8CvMI6B4fKfHSKLpHv2XP1TwoQnvbfo1nbGTVQas5PTUgqQcyZ7Fr6cDEaQ,Beichuan,ThunderTalk Gaming,pro,https://www.probuild.gg/pro/beichuan,beichuan,LPL,jungle,Challenger,2039,196,148
작두콩차,꿀유자차,KR,DqX3IG1xcy165kXnZU5yKh9sfIV1hWAvh5xXhaItMzutdQK58uD9XLVMm_uTddWhF_E-dRyvfzZ18g,PerfecT,kt Rolster,pro,https://www.probuild.gg/pro/perfect,perfect,LCK,top,Grandmaster,1652,200,175
t4k1zz,KR2,KR,1sbMB7j8GB_gfeJijBedJdz3F4WYjOBoUDOPGnGKcBmpdahEZZerVrRs7MIi45Mx-dRNkyIEJ68qeQ,Taki,Team Secret Whales,pro,https://www.probuild.gg/pro/taki,taki,LCP,supp,Challenger,2036,401,358
hjzt0ahjhj,KR2,KR,OXcJfpty5S_8UkD164o1tBs1IE4Uk2bUbrxUMUP-MytYI2DL5Fj8s-psOsCrrZ67Vs0A6Pgj3NHH9Q,Hizto,Team Secret Whales,pro,https://www.probuild.gg/pro/hizto,hizto,LCP,jungle,Challenger,2026,356,303
아구몬,0509,KR,UT8bPR0ofwo6aimtWflclqbNJecq_8URvvyB5bn31pH7Q1cc5hOR1l2Pd835RtzkE-XHLsLNzu0n_w,Bdd,kt Rolster,pro,https://www.probuild.gg/pro/bdd,bdd,LCK,mid,Challenger,2023,173,126
titanzeraaa,r10,BR1,0YWHjipn31Fe0z3gB7VSZ0pfnzr5Dp4Zv0KMtOIRrgdrWf8tvImHUU3gT6LinsrOnnKvjqHJrZ8CMA,TitaN,paiN Gaming,pro,https://www.probuild.gg/pro/titan,titan,LTAS,adc,Challenger,2000,456,341
Karis,KR4,KR,XYI3yqdhX7WmGoNgTifP3jrXWVmrosMH86ARInCcJIuGwqGpCjsJkvetUGzaGJGZoxhODJ4pJ6t4tw,Karis,Xi'an Team WE,pro,https://www.probuild.gg/pro/karis,karis,LPL,mid,Challenger,1999,229,210
Τreasure Hunter,EUW,EUW1,Mtr1KLer3aGvZh3APE3uOtgDqyN1KS3h4M5asjqJTH8auEAb4HYNoQ5HOGzCU1cbhW-BKWkn7kmnIA,LIDER,The Ruddy Sack,pro,https://www.probuild.gg/pro/lider,lider,NLC,mid,Challenger,1990,211,161
길가다가까까사달라고조르는이도윤,KR1,KR,yR2rT9etZGgMo2tuwPRPmHCq-yeDLBmvRSca_ajCm_plrmJJ14PBhfkZKNAL_VPb8ogjb-xSCgEKHw,Angel,Shanghai Edward Gaming Hycan,pro,https://www.probuild.gg/pro/angel,angel,LPL,mid,Challenger,1989,272,224
타 잔,KR1,KR,1BWX1V4YyP61dYLY6FrBbKt57B5e09pvEudpGDARGWeXipqXz-kK4WIeL6S3gqQekgEhIOoXeT1f6g,Tarzan,Anyone's Legend,pro,https://www.probuild.gg/pro/tarzan,tarzan,LPL,jungle,Challenger,1985,287,245
Thayger,SOUL,EUW1,n1Ni16u_D0MESNIWe1XGeda4ykt7cMxYuiWDhzaoUkTjOYmmYdXSl9Kvm5OCKQ348M7I5-I04POdMw,Thayger,Barça Esports,pro,https://www.probuild.gg/pro/thayger,thayger,EMEA,jungle,Challenger,1977,367,219
UmTi,602,KR,yWXlyNJhQEWv7YGtOxtdmAo5Lm6HXVtTVQeNYeRzcaqF6z-iTDob6XH8gpsieFddpGAeU1HOF5y9wQ,UmTi,Team Liquid Honda,pro,https://www.probuild.gg/pro/umti,umti,LTAN,jungle,Challenger,1968,232,177
